signal,frame_len,hop_ratio,window,zero_pad_factor,snr_db,fs,duration,hop,n_fft,signal_len,n_frames,mse,mae,frobenius,cosine,pearson,phase_mean,phase_std,energy_err_classical,energy_err_quantum,recon_rmse_classical,runtime_classical_s,runtime_quantum_s,rank
impulse,64,1.0,rect,1,inf,16000,0.5,64,64,8000,125,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5458051823079586e-05,0.0006702920072712004,best
impulse,64,1.0,rect,2,inf,16000,0.5,64,128,8000,125,0.0,0.0,0.0,0.9999999999999998,1.0,0.0,0.0,0.0,0.0,0.0,4.358298610895872e-05,0.0006565410294570029,best
impulse,64,1.0,hann,1,inf,16000,0.5,64,64,8000,125,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0012426924698638597,0.0012426924698638597,0.0,2.6291992980986834e-05,0.0006669579888693988,best
impulse,64,1.0,hann,2,inf,16000,0.5,64,128,8000,125,0.0,0.0,0.0,1.0000000000000002,1.0,0.0,0.0,0.0012426924698639708,0.0012426924698639708,0.0,4.879204789176583e-05,0.0006952090188860893,best
impulse,64,1.0,hamming,1,inf,16000,0.5,64,64,8000,125,0.0,0.0,0.0,1.0,0.9999999999999999,0.0,0.0,0.0011433055047798124,0.0011433055047798124,0.0,2.924998989328742e-05,0.0006302089896053076,best
sum_of_sines,1024,0.25,rect,2,0.0,16000,0.5,256,2048,8000,28,1.6791250432360064e-28,8.938430372381831e-15,3.799854438940584e-12,0.9999999999999998,1.0,-3.17516350513612e-19,7.727603461390436e-16,2.5837650929342164,2.5837650929342164,0.15025858048688917,0.00018329196609556675,0.0005495829973369837,worst
sum_of_sines,1024,1.0,rect,2,0.0,16000,0.5,1024,2048,8000,7,1.6699425224128631e-28,8.980707964864014e-15,1.8944954055201848e-12,1.0,0.9999999999999998,1.4869058365515489e-18,8.678718091261874e-16,0.10703738549794523,0.10703738549794523,0.5686993567074878,6.508396472781897e-05,0.00014633301179856062,worst
sum_of_sines,1024,0.75,rect,2,0.0,16000,0.5,768,2048,8000,10,1.661319207090582e-28,8.948755365195682e-15,2.2698040131812662e-12,0.9999999999999998,0.9999999999999998,-1.1275702593849246e-18,6.765465535854725e-16,0.2767534060597949,0.2767534060597949,0.15025858048688917,7.895799353718758e-05,0.00020045804558321834,worst
sum_of_sines,1024,0.5,rect,2,0.0,16000,0.5,512,2048,8000,14,1.643385704332468e-28,8.816500705652814e-15,2.6632889340445837e-12,1.0,1.0,-7.279643158116958e-19,8.119095650274703e-16,0.7908065166657335,0.7908065166657335,0.35048602649708943,0.00010166701395064592,0.0002795410109683871,worst
sum_of_sines,1024,0.5,rect,1,0.0,16000,0.5,512,1024,8000,14,1.585824769478513e-28,8.480939165230897e-15,1.8310843606505534e-12,1.0,1.0,-6.814985084194599e-18,7.489839442727087e-16,0.7908065166657335,0.7908065166657339,0.35048602649708943,4.9667025450617075e-05,0.0001807079534046352,worst
