frame_len,window,signal,method,runtime_s
64,rect,sine,classical,4.3665990233421326e-05
64,rect,sine,classical,3.724999260157347e-05
64,rect,sine,classical,3.6792014725506306e-05
64,rect,sine,classical,3.574998117983341e-05
64,rect,sine,classical,8.658296428620815e-05
64,rect,sine,classical,5.625002086162567e-05
64,rect,sine,classical,5.716702435165644e-05
64,rect,sine,classical,5.133403465151787e-05
64,hann,sine,classical,3.38749960064888e-05
64,hann,sine,classical,3.429199568927288e-05
64,hann,sine,classical,3.4750031773000956e-05
64,hann,sine,classical,3.0292023438960314e-05
64,hann,sine,classical,5.6124990805983543e-05
64,hann,sine,classical,4.754198016598821e-05
64,hann,sine,classical,5.12909609824419e-05
64,hann,sine,classical,6.1208033002913e-05
64,hamming,sine,classical,2.7416972443461418e-05
64,hamming,sine,classical,2.9458955395966768e-05
64,hamming,sine,classical,2.666696673259139e-05
64,hamming,sine,classical,2.9875023756176233e-05
64,hamming,sine,classical,4.7083012759685516e-05
64,hamming,sine,classical,4.7708977945148945e-05
64,hamming,sine,classical,4.654203075915575e-05
64,hamming,sine,classical,5.183299072086811e-05
64,blackman,sine,classical,2.9125018045306206e-05
64,blackman,sine,classical,3.0499999411404133e-05
64,blackman,sine,classical,2.820900408551097e-05
64,blackman,sine,classical,2.9624963644891977e-05
64,blackman,sine,classical,4.833302227780223e-05
64,blackman,sine,classical,5.224999040365219e-05
64,blackman,sine,classical,4.762498429045081e-05
64,blackman,sine,classical,4.8667017836123705e-05
64,rect,sine,classical,3.204098902642727e-05
64,rect,sine,classical,3.087497316300869e-05
64,rect,sine,classical,3.08750313706696e-05
64,rect,sine,classical,3.024999750778079e-05
64,rect,sine,classical,5.629198858514428e-05
64,rect,sine,classical,7.483299123123288e-05
64,rect,sine,classical,5.8333040215075016e-05
64,rect,sine,classical,5.9833982959389687e-05
64,hann,sine,classical,3.38749960064888e-05
64,hann,sine,classical,3.6999990697950125e-05
64,hann,sine,classical,3.312499029561877e-05
64,hann,sine,classical,3.549997927621007e-05
64,hann,sine,classical,6.258394569158554e-05
64,hann,sine,classical,7.658300455659628e-05
64,hann,sine,classical,7.254100637510419e-05
64,hann,sine,classical,7.30830361135304e-05
64,hamming,sine,classical,3.370799822732806e-05
64,hamming,sine,classical,3.529200330376625e-05
64,hamming,sine,classical,6.766599835827947e-05
64,hamming,sine,classical,3.4750031773000956e-05
64,hamming,sine,classical,6.550003308802843e-05
64,hamming,sine,classical,6.074999691918492e-05
64,hamming,sine,classical,6.441702134907246e-05
64,hamming,sine,classical,6.9500005338341e-05
64,blackman,sine,classical,3.483297768980265e-05
64,blackman,sine,classical,3.454199759289622e-05
64,blackman,sine,classical,4.1457999031990767e-05
64,blackman,sine,classical,3.912497777491808e-05
64,blackman,sine,classical,5.970901111140847e-05
64,blackman,sine,classical,7.40840332582593e-05
64,blackman,sine,classical,7.529096910730004e-05
64,blackman,sine,classical,6.366701563820243e-05
64,rect,sine,classical,4.033296136185527e-05
64,rect,sine,classical,4.037498729303479e-05
64,rect,sine,classical,5.3875031881034374e-05
64,rect,sine,classical,4.3042004108428955e-05
64,rect,sine,classical,8.249998791143298e-05
64,rect,sine,classical,8.854200132191181e-05
64,rect,sine,classical,8.241704199463129e-05
64,rect,sine,classical,0.00010808301158249378
64,hann,sine,classical,7.483403896912932e-05
64,hann,sine,classical,4.3707957956939936e-05
64,hann,sine,classical,5.9416983276605606e-05
64,hann,sine,classical,4.316598642617464e-05
64,hann,sine,classical,8.412497118115425e-05
64,hann,sine,classical,0.00012212496949359775
64,hann,sine,classical,8.949998300522566e-05
64,hann,sine,classical,0.00010891701094806194
64,hamming,sine,classical,4.616699879989028e-05
64,hamming,sine,classical,4.316697595641017e-05
64,hamming,sine,classical,4.570803139358759e-05
64,hamming,sine,classical,4.4707965571433306e-05
64,hamming,sine,classical,8.408300345763564e-05
64,hamming,sine,classical,9.658402996137738e-05
64,hamming,sine,classical,9.229202987626195e-05
64,hamming,sine,classical,0.0001124579575844109
64,blackman,sine,classical,5.24159986525774e-05
64,blackman,sine,classical,5.016702925786376e-05
64,blackman,sine,classical,4.558300133794546e-05
64,blackman,sine,classical,4.983402322977781e-05
64,blackman,sine,classical,9.962503099814057e-05
64,blackman,sine,classical,8.19999841041863e-05
64,blackman,sine,classical,8.324999362230301e-05
64,blackman,sine,classical,8.62079905346036e-05
64,rect,sine,classical,7.666699821129441e-05
64,rect,sine,classical,0.00011454202467575669
