frame_len,method,runtime_s,mse
64,classical,6.995798321440816e-05,3.6835555126834036e-31
64,quantum,0.002797541965264827,3.6835555126834036e-31
128,classical,8.512497879564762e-05,9.15285687314687e-31
128,quantum,0.0014820410287939012,9.15285687314687e-31
256,classical,7.783301407471299e-05,1.661412935866521e-30
256,quantum,0.0008749169646762311,1.661412935866521e-30
512,classical,8.795899339020252e-05,4.5591923749080654e-30
512,quantum,0.0005458330269902945,4.5591923749080654e-30
1024,classical,9.67090018093586e-05,9.09272179051533e-30
1024,quantum,0.00039320799987763166,9.09272179051533e-30
2048,classical,0.00010025000665336847,2.017550271444892e-29
2048,quantum,0.00028974999440833926,2.017550271444892e-29
