signal,frame_len,hop_ratio,window,zero_pad_factor,snr_db,fs,duration,hop,n_fft,signal_len,n_frames,mse,mae,frobenius,cosine,pearson,phase_mean,phase_std,energy_err_classical,energy_err_quantum,recon_rmse_classical,runtime_classical_s,runtime_quantum_s
sine,64,1.0,rect,1,inf,16000,0.5,64,64,8000,125,9.669463027229038e-31,5.627200094782126e-16,1.0352157981986502e-13,1.0,1.0,1.609823385706477e-18,3.606604889694433e-15,0.0,0.0,1.1668843207723528e-16,4.3665990233421326e-05,0.000879917002748698
sine,64,1.0,rect,1,20.0,16000,0.5,64,64,8000,125,9.355624733677928e-31,5.676870106809118e-16,1.0729782268174918e-13,0.9999999999999999,1.0,5.10702591327572e-18,2.8966182202406574e-15,1.1235273336638707e-16,1.1235273336638707e-16,1.1759538096181197e-16,3.724999260157347e-05,0.0008264160132966936
sine,64,1.0,rect,1,10.0,16000,0.5,64,64,8000,125,1.1472360565386047e-30,6.493634839913054e-16,1.1037614948986237e-13,1.0000000000000002,1.0,4.718447854656916e-18,8.548010304240943e-16,4.1123816123369764e-16,4.1123816123369764e-16,1.274257790355767e-16,3.6792014725506306e-05,0.0008329169941134751
sine,64,1.0,rect,1,0.0,16000,0.5,64,64,8000,125,2.0154887743076843e-30,9.430364475426779e-16,1.4514294624122406e-13,1.0,1.0,-2.7200464103316336e-18,5.18384991190641e-16,1.1272426281631832e-16,1.1272426281631832e-16,1.8195797676472244e-16,3.574998117983341e-05,0.0008413750329054892
sine,64,1.0,rect,2,inf,16000,0.5,64,128,8000,125,1.1884494142535474e-30,6.43423899229778e-16,1.6471758457892453e-13,0.9999999999999999,1.0,-8.520961713998076e-18,3.5697306501995e-15,1.1368683772161616e-16,0.0,9.601603827369443e-17,8.658296428620815e-05,0.0008182080346159637
sine,64,1.0,rect,2,20.0,16000,0.5,64,128,8000,125,1.1792952413494787e-30,6.456963463257262e-16,1.6636364738187074e-13,1.0,1.0,-1.146305272925474e-17,2.559261157507596e-15,1.1235273336638707e-16,1.1235273336638707e-16,9.906614810793799e-17,5.625002086162567e-05,0.0008239999879151583
sine,64,1.0,rect,2,10.0,16000,0.5,64,128,8000,125,1.4467633390929814e-30,7.285832771515913e-16,1.78517360490309e-13,1.0000000000000002,1.0,-8.326672684688674e-19,9.913361847766797e-16,4.1123816123369764e-16,4.1123816123369764e-16,1.0798562969879507e-16,5.716702435165644e-05,0.0008367499685846269
sine,64,1.0,rect,2,0.0,16000,0.5,64,128,8000,125,2.5574572614930603e-30,1.07024675580214e-15,2.3245958223541093e-13,1.0,1.0,-9.96425164601078e-18,1.187850152104576e-15,1.1272426281631832e-16,1.1272426281631832e-16,1.4394968644506534e-16,5.133403465151787e-05,0.0008766669780015945
sine,64,1.0,hann,1,inf,16000,0.5,64,64,8000,125,3.6802179978016055e-31,3.6158279597613647e-16,6.560248051896472e-14,0.9999999999999999,1.0,-2.161920642507198e-14,4.072294324363379e-12,0.630859375,0.630859375,0.1249999999999998,3.38749960064888e-05,0.0007823750493116677
sine,64,1.0,hann,1,20.0,16000,0.5,64,64,8000,125,3.7814471141814028e-31,3.68312260030923e-16,6.540467830040753e-14,1.0,0.9999999999999999,-4.8183679268731794e-17,3.3831023145312305e-15,0.6323463837435249,0.6323463837435249,0.12532474561343407,3.429199568927288e-05,0.0007420830079354346
sine,64,1.0,hann,1,10.0,16000,0.5,64,64,8000,125,4.003792981246501e-31,3.990098182415913e-16,6.636130964505381e-14,1.0000000000000002,0.9999999999999999,-8.826273045769995e-18,1.26932862085487e-15,0.6352172767540029,0.6352172767540029,0.1302399788260855,3.4750031773000956e-05,0.000758291978854686
sine,64,1.0,hann,1,0.0,16000,0.5,64,64,8000,125,7.285329552724045e-31,5.747676640188715e-16,8.796473924365064e-14,0.9999999999999999,0.9999999999999999,1.4988010832439613e-18,4.789401984502974e-16,0.6387157410634731,0.6387157410634731,0.1750949492974277,3.0292023438960314e-05,0.0006907500210218132
sine,64,1.0,hann,2,inf,16000,0.5,64,128,8000,125,4.4459223146933505e-31,3.9663173914909876e-16,1.0034165842593171e-13,1.0,1.0,-1.225430867890509e-14,3.5903389435610294e-12,0.630859375,0.630859375,0.1249999999999998,5.6124990805983543e-05,0.0008142089936882257
sine,64,1.0,hann,2,20.0,16000,0.5,64,128,8000,125,4.527136544921008e-31,4.0108736644450806e-16,1.0112415200808238e-13,1.0,1.0,-1.2712053631958043e-17,3.506528108779752e-15,0.6323463837435249,0.6323463837435249,0.12532474561343407,4.754198016598821e-05,0.0007296250551007688
sine,64,1.0,hann,2,10.0,16000,0.5,64,128,8000,125,4.989997239776215e-31,4.4028040761812103e-16,1.0444477312733606e-13,0.9999999999999999,1.0,-5.3568260938163804e-18,1.1647645581516705e-15,0.6352172767540029,0.6352172767540029,0.1302399788260855,5.12909609824419e-05,0.0008502500131726265
sine,64,1.0,hann,2,0.0,16000,0.5,64,128,8000,125,8.438985031590542e-31,6.263249467675092e-16,1.3490076343890225e-13,1.0,0.9999999999999999,5.63438184997267e-18,5.009360789224981e-16,0.638715741063473,0.6387157410634731,0.1750949492974277,6.1208033002913e-05,0.0007842080085538328
sine,64,1.0,hamming,1,inf,16000,0.5,64,64,8000,125,4.508918980267003e-31,3.85481821159675e-16,6.836341421467068e-14,0.9999999999999999,1.0,-1.4338530363033898e-16,2.8238448324160096e-14,0.6087093749999999,0.6087093749999999,4.32564366558203e-16,2.7416972443461418e-05,0.0007248339825309813
sine,64,1.0,hamming,1,20.0,16000,0.5,64,64,8000,125,4.614600746355563e-31,3.902522158509211e-16,7.004166436259945e-14,1.0000000000000002,1.0,-5.0515147620444624e-17,3.425071274519399e-15,0.6102120645512141,0.6102120645512141,4.508119170472389e-16,2.9458955395966768e-05,0.0007859169854782522
sine,64,1.0,hamming,1,10.0,16000,0.5,64,64,8000,125,5.1759158623967605e-31,4.2571621141490603e-16,7.038781299131602e-14,0.9999999999999999,1.0,2.55351295663786e-17,2.1846275159007405e-15,0.6131125250952704,0.6131125250952704,4.551925556419347e-16,2.666696673259139e-05,0.0006932920077815652
