signal,frame_len,hop_ratio,window,zero_pad_factor,snr_db,fs,duration,hop,n_fft,signal_len,n_frames,mse,mae,frobenius,cosine,pearson,phase_mean,phase_std,energy_err_classical,energy_err_quantum,recon_rmse_classical,runtime_classical_s,runtime_quantum_s
sine,128,0.5,hann,1,inf,16000,0.5,64,128,8000,124,9.74232541452885e-31,5.489604322345682e-16,1.4915464339830443e-13,1.0,1.0,-7.951993958024079e-13,1.3302943535572842e-10,0.2618124764749206,0.2618124764749206,0.0019222257776761447,0.00040909499989538745,0.007989555000222026
sine,128,0.5,hann,1,10.0,16000,0.5,64,128,8000,124,1.07502488700327e-30,6.177046786921859e-16,1.5725744638950914e-13,1.0000000000000002,1.0,3.6373234173707244e-18,1.7433668227031435e-15,0.2592887656950661,0.2592887656950661,0.004019407506133343,0.0003987689999576105,0.007441655999855357
sine,128,0.5,hann,2,inf,16000,0.5,64,256,8000,124,7.894618404664983e-31,5.347489525258066e-16,2.000603920462981e-13,0.9999999999999999,0.9999999999999998,-1.8917021007443112e-13,9.937345715916536e-11,0.2618124764749206,0.2618124764749206,0.0019222257776761447,0.0006783329999962007,0.008145515000023806
sine,128,0.5,hann,2,10.0,16000,0.5,64,256,8000,124,9.712191865219268e-31,6.112255050894901e-16,2.165238123136159e-13,1.0000000000000002,1.0,6.407285096753045e-18,1.88245392196111e-15,0.259288765695066,0.259288765695066,0.004019407506133343,0.0006548030000885774,0.00829866599997331
sine,128,0.5,hamming,1,inf,16000,0.5,64,128,8000,124,9.264965627880664e-31,5.546337447448617e-16,1.4886912242402273e-13,1.0,1.0,-1.0080981748297477e-16,3.695676437935624e-14,0.21761950628821822,0.21761950628821822,1.33370785187371e-16,0.00042031800012409803,0.007408111000131612
sine,128,0.5,hamming,1,10.0,16000,0.5,64,128,8000,124,1.0689781865321134e-30,6.276981373457528e-16,1.5846772562890435e-13,0.9999999999999999,0.9999999999999998,1.0660155553986509e-17,1.1587844481220934e-15,0.2154544275399102,0.2154544275399101,1.5273185972902826e-16,0.0006528710000566207,0.00969697300001826
sine,128,0.5,hamming,2,inf,16000,0.5,64,256,8000,124,9.04232575846792e-31,5.57412269824877e-16,2.1270661319791796e-13,1.0,1.0,1.2352909913609037e-16,4.2721350775268365e-13,0.2176195062882181,0.21761950628821822,1.123530529382692e-16,0.0007274670001606864,0.008500640999955067
sine,128,0.5,hamming,2,10.0,16000,0.5,64,256,8000,124,1.0509151415698792e-30,6.282622612886242e-16,2.2200004817007713e-13,0.9999999999999999,1.0,2.6300646248680623e-18,1.2066003035498126e-15,0.2154544275399101,0.21545442753990998,1.2806407777246014e-16,0.0006625080000048911,0.008026926999946227
sine,256,0.5,hann,1,inf,16000,0.5,128,256,8000,61,2.066238946887618e-30,8.134897213991749e-16,2.2291446918161638e-13,1.0000000000000002,0.9999999999999999,-9.477192766898976e-13,8.893815564154966e-11,0.27085937913060815,0.2708593791306079,0.06482964570649645,0.00041219499985345465,0.0040513820001706335
sine,256,0.5,hann,1,10.0,16000,0.5,128,256,8000,61,2.204405704998236e-30,8.841804241890849e-16,2.2883799472443443e-13,1.0,1.0,-5.687617954022319e-20,1.6087247111498543e-15,0.27097786697432663,0.27097786697432674,0.06743974782785096,0.0004243309999765188,0.004086961999973937
sine,256,0.5,hann,2,inf,16000,0.5,128,512,8000,61,2.194702772628445e-30,8.509808352425586e-16,3.2980433772865985e-13,1.0000000000000002,0.9999999999999999,8.745603583880856e-12,1.7161786267875906e-09,0.27085937913060815,0.27085937913060815,0.06482964570649645,0.0006670329998996749,0.00482342600002994
sine,256,0.5,hann,2,10.0,16000,0.5,128,512,8000,61,2.5968862727274685e-30,9.533966795932054e-16,3.4364746989353565e-13,1.0,0.9999999999999998,2.289266226493983e-18,1.6420884703670719e-15,0.27097786697432663,0.27097786697432696,0.06743974782785096,0.0006381529999544,0.004756160999932035
sine,256,0.5,hamming,1,inf,16000,0.5,128,256,8000,61,2.683258465832276e-30,8.323928801299314e-16,2.3932992774470817e-13,1.0,1.0,1.5480842928155648e-15,3.7234889368594893e-13,0.22725865661529704,0.22725865661529726,0.06391161908970927,0.00037074200008646585,0.0040766900001472095
sine,256,0.5,hamming,1,10.0,16000,0.5,128,256,8000,61,2.5577496801859812e-30,9.086280862015374e-16,2.4411151557700845e-13,0.9999999999999999,1.0,-2.445675720229597e-18,1.3339043092770053e-15,0.22727001947785938,0.22727001947785927,0.06632160473985464,0.0003826590000244323,0.004010896999943725
sine,256,0.5,hamming,2,inf,16000,0.5,128,512,8000,61,2.4654661785796924e-30,8.680566408676014e-16,3.378296662438506e-13,0.9999999999999999,1.0,4.454826762487981e-17,3.324961536721959e-13,0.22725865661529704,0.22725865661529726,0.06391161908970927,0.0006242829999791866,0.004749978000063493
sine,256,0.5,hamming,2,10.0,16000,0.5,128,512,8000,61,2.7570272041185847e-30,9.7197116095015e-16,3.6149719066529544e-13,1.0,0.9999999999999999,-1.25127594988491e-18,1.410918190761749e-15,0.22727001947785927,0.22727001947785938,0.06632160473985464,0.0006463129998337536,0.004749820999904841
chirp,128,0.5,hann,1,inf,16000,0.5,64,128,8000,124,8.794996865047229e-31,5.466754002288172e-16,1.4348562376469522e-13,1.0,1.0,-6.763343525461793e-13,3.7191141921677224e-11,0.2609966376146793,0.2609966376146793,0.011180339938718295,0.0003939099999570317,0.007362112999999226
chirp,128,0.5,hann,1,10.0,16000,0.5,64,128,8000,124,1.0263894672258188e-30,6.111024667229905e-16,1.541594826619652e-13,1.0000000000000002,0.9999999999999998,2.238352872228138e-19,1.4568713572063723e-15,0.26380509589579604,0.26380509589579604,0.007356303575586418,0.0003739960000075371,0.007352698999966378
chirp,128,0.5,hann,2,inf,16000,0.5,64,256,8000,124,8.397755536634584e-31,5.528522645997915e-16,2.060307024486849e-13,1.0,1.0,7.81555879602083e-15,4.200209270180763e-11,0.2609966376146793,0.2609966376146793,0.011180339938718295,0.0006810259999383561,0.007957893999900989
chirp,128,0.5,hann,2,10.0,16000,0.5,64,256,8000,124,9.523875962669797e-31,6.088139476413701e-16,2.1655602538913972e-13,0.9999999999999999,0.9999999999999998,3.945096937302094e-18,1.3933979696725583e-15,0.26380509589579604,0.26380509589579604,0.007356303575586418,0.0006259540000428387,0.008118658000057621
chirp,128,0.5,hamming,1,inf,16000,0.5,64,128,8000,124,1.0368380255510413e-30,5.673619803367414e-16,1.542122722449868e-13,1.0,1.0,2.3463533983131457e-16,1.550551152794854e-13,0.21698480784752786,0.21698480784752786,1.4460047292654226e-16,0.0004236050001509284,0.007360238000046593
chirp,128,0.5,hamming,1,10.0,16000,0.5,64,128,8000,124,1.2261484322125295e-30,6.427764713999047e-16,1.6502451890594025e-13,1.0,0.9999999999999998,-7.834235052798484e-18,1.2911904154215551e-15,0.2193326839929247,0.2193326839929247,1.5620341159026586e-16,0.00039625499994144775,0.00877878200003579
chirp,128,0.5,hamming,2,inf,16000,0.5,64,256,8000,124,1.0153808768025418e-30,5.790687639976028e-16,2.1597863794536805e-13,1.0000000000000002,1.0,1.4278592868997808e-15,1.8168985704409114e-13,0.21698480784752797,0.21698480784752786,1.146784020465881e-16,0.0006604539998988912,0.008002717999943343
